,ciudad,area_total,area_urb,poblacion_total,poblacion_urb,ingreso_mensual,flota_vahiculos,autos_particulares
0,Caracas,77700,26063,3140076,4710,,850000,820000
0,Panama,3269,0,1577959,0,0,0,0
0,Rio de Janeiro,4686.5,SI,10855249,10631282,569.12,2404529,1889689
0,Guadalajara,,544.396,0,4095853,0,1530714,1442517
0,Porto Alegre,3627.1199999999994,433.98,3410676,0,904.6772738022654,826907.1448934128,620535.3039855325
0,Curitiba,3897.6670000000004,424.99,2872486,0,824.6413436958616,1028245.6656533671,774725.2297281106
0,Sao Paulo,5301.682,1666.99,18783649,0,28380.402211004923,5575174.995112821,4386039.78650885
0,Rosario,149.94212149748913,,1320718,0,,0,
0,Santiago,4215.3,677.9371499999999,6038971,5975255.25,6435.788205128206,655251.4277657892,995338
0,Quito,4255.32,352,2231706,1648081,343.551,351428,337967
0,Manaus,101475.36699999998,0,2106322,0,,351977.341644117,204591.122871303
0,Buenos Aires,16770,2440,13267181,13156403.861599999,,5041543,
0,Santa Cruz,0,,1889431,1294694,,0,
0,Montevideo,185.5485495524979,,1953425,0,,0,
0,Salvador,,,3792212,,,,
0,Brasilia,,,2455903,,,,
0,San Jose,930.68,235.12,1286877,1157823.7120000003,289534,1102727,646064
0,Recife,0,0,3658318,,,,
0,Pereira,711,2440,673015,590360,,136731,58058
0,Florianopolis,2749.08,0,850699,0,,362319.4505125335,248850.63289092298
0,Mexico,7180,2884,,19239910,,5940825,5592293
0,Bogota,2735.12,2440,7823957,7719297,1273701.1666666667,1394156,1013956
0,Leon,,198.23,1360310,1265088,,203910,185981
0,Lima,2819.2599999999993,2816.041452303822,8482619,8472935,3008.8104679951484,30.08810467995148,30.08810467995148
0,Belo Horizonte,3718.882,602.53,4803198,0,796.6436130056812,1476032.075696153,1074784.3801027623
