,Km2,Poblacion,Hab/km2 urb.,PIB (USD billones),Salario minimo (USD),Sistema vial (km),Inters. Semaforicas,Vias con prioridad TC (km) - Acera,Vias con prioridad TC (km) - Centro de la via,Vias con prioridad TC (km) - BRT,Prioridad TC sobre extension de las vias (%),Ciclocarriles (km),Ciclovias (km),Otras clases de infraestructura/prioridad (km),Prioridad Ciclistas sobre extension de las vias (%),Taxis coletivos,Jeeps,Combi/Vans,Microbus,Bus estandar,Articulado,Bi-articulado,Tren1,Metro1,Tranvia1,Barcos,Clase de organizacion,Instrumento legal,Tarifa minima (US$ ) - Omnibus,Tarifa minima (US$ ) - Microbus,Tarifa minima (US$ ) - Tren,Tarifa minima (US$ ) - Metro,Tarifa minima (US$ ) - Tranvia,Recursos Humanos - Neumaticos,Recursos Humanos - Ferrocarriles,Asientos,Asientos/mil hab,Flota Automovil,Flota Motocicleta,Flota Taxis uso individual,Autos/mil hab,Motos/mil hab,Millones de viajes/dia - T individual,Millones de viajes/dia - T colectivo,Millones de viajes/dia - A pie,Millones de viajes/dia - Total,Viaje/hab./dia - T individual,Viaje/hab./dia - T colectivo,Viaje/hab./dia - A pie/bici,Viaje/hab./dia - Total,Operaciones especiales (km) - Vias exclusivas TC pico,Operaciones especiales (km) - Vias reversibles TC pico,Operaciones especiales (km) - Vias reversibles Auto pico,Operaciones especiales (km) - Ciclovias Fines semana,Operaciones especiales (km) - Pico y placa,Energia/hab/dia (gep),Victimas fatales (VF),VF/cien mil hab,Automovil,Motocicleta,Autobus,Auto/bus,Moto/bus,Subsidios (USD millones/ano),Recaudacion (USD millones/ano),% sub/rec,Patrimonio (USD millones) - Auto,Patrimonio (USD millones) - Moto,Patrimonio (USD millones) - Veh. uso publico,Patrimonio (USD millones) - Vias,Patrimonio (USD millones) - Prioridad TC,Patrimonio (USD millones) - Rieles,Patrimonio (USD millones) - Total,Patrimonio  USD/hab.,latitude,longitude
Caracas,260.63,3611087,13855,,,2696.8,547,,,5.2,0.1928211213289825,14,12,,0.9641056066449124,47,5099,273,10964,1328,50,,86,585,,,Empresa Privada/Publica,Permisos,0.9523809523809524,1.1904761904761905,0.6349206349206349,0.6349206349206349,,42276,9000,603172,167.03336142275165,1331650,237670,13890,368.76707761402594,65.81674714566556,2.1629730059589,4.282466973690897,1.0776515685285,7.523091548178297,0.45630692676025253,1.3151737894132427,0.2984285807925702,2.069909296966065,,,16.6,17.9,,555.1362126405984,273,7.560050477875499,0.00131225842076201,0.0003749309773605743,0.9523809523809524,0.0013778713418001105,0.000393677526228603,711.1,604.8502787780494,117.56628457485411,9107.092583793485,184.82746797349535,395,2309.200258355139,52,5088,17136.120310122118,4745.418847599662,10.461517,-66.894522
Panama,287,1771384,6172.06968641115,46.21,496.0,2050.2200000000003,180,3.5,,,0.1707133868560447,0,7.6,0,0.3706919257445542,,,,1753,1236,,,,60,,,Empresa publica,,0.25,,,0.35,,8759,1800,200540,113.21091304877994,414963,15430,44399,234.25920071537286,8.710703043495933,1.029234,0.659884,0.183281,1.8723990000000001,0.5790065846818082,0.5740375886877155,0.10549491245263591,1.2585390858221595,,,30,,,751.759866482852,58,3.274275933394453,0.5348314606741573,0.20944000000000002,0.25,2.1393258426966293,0.8377600000000001,2.4,53.41579,4.49305345853726,5818.1132304,35.489,1005,1973.1185551985689,7,1096,9934.720785598569,5608.4512367722455,8.998658,-79.511511
Rio de Janeiro,900,12156624,13507.36,153.387831268,272.600625024,15371.208791208792,3169,45,,91,0.8847710147414175,,,,2.433120290538898,,,,1525.9291039895347,14877.808763897963,552.2621321124915,,663,296,,24,Empresa privada,Concesion,1.1295606009262398,1.1295606009262398,1.2,1.32,,66298.07089601042,5295,1536724.590843688,126.410473075723,2350522.6930062356,412804.14409728895,36637,193.35324453616693,33.95713679203116,4.822007543499203,10.535286623474565,6.718816198051024,22.076110365024793,0.3477796565215611,0.8703890863215288,0.5978050312100348,1.8159737740531248,0,0,33.4,11,,492.1631361172011,952,7.831121535057759,1.1704356338717574,0.3344101811062164,1.1295606009262398,1.0361866666666668,0.29605333333333334,0,3509.7719499820178,0,34360.43085003975,1157.3250713311545,2770,17322.93604864032,1000,12800,69410.69197001123,5709.701309344702,-22.939439,-43.247596
Guadalajara,692.524,4515531,6520.396405034338,73.8223134328,225.970149254,10439,1823,,,16.1,0.1532713861480985,,72,,0.6897212376664431,,,,,5247,41,,48,,,,Org. Publicos /Asoc. Civiles/Empresas,"Ley de Movilidad, Reglam. y Normas",0.7462686567164178,,0.5223880597014925,,,10658,96,362015,80.1710806547447,1854252,159233,12747,401.93466002878193,35.26340534479777,3.3854267886245073,3.1557797047124545,3.8461891385849025,10.387395631921864,0.6924192462166019,0.6988723374310695,0.9011067260797704,2.292398309727442,,,,65,,359.07149491832314,244,5.289036066673936,0.6174918092464506,0.2835522388059702,0.7462686567164178,0.827439024390244,0.3799600000000001,0,714.6754502392763,0,22703.959645253726,299.4362568235205,1719,9552.756378832544,161,680,35116.15228090979,7776.749241874276,20.672172,-103.348805
Cali,151.365,2784664,18397.01384071615,13.968371467,257.47556908,2341,466,,,36.3,1.627509611277232,,25.5,,1.0892780862879112,,,,305.916,519.234,535.004,,,,,,Empresa publica,,0.6687677118948697,,,,,5134.700000000001,0,152207.17357142858,54.65908043894293,387106,266658,19717,129.33807064402077,95.75948839788211,1.971329,0.8711,1.421079,4.263508,0.6012667955631272,0.33365246220010747,0.596148045150151,1.5310673029133857,0,0,0,74,,201.93646618236957,476,15.90389237742476,0.6821290173665971,0.2594872906786583,0.6687677118948697,1.0199789930555556,0.3880081021606642,0,164.7392290780201,0,5991.5464333781965,501.4480250453508,453,1803.2593984962405,381,0,9130.253856919788,3278.7632033594678,3.424535,-76.52498
Porto Alegre,433.98,4161237,9588.545555094704,55.3358564063,272.600625024,9903.07,1899,44,,11,0.5553833306237359,3,22,,0.2524469684653345,,,,,4562,332,,100,,,,Empresa privada e empresa publica,Concesion,1.1107345909108024,1.1107345909108024,0.64,,,20785,1156,445395.802120141,107.03447126903393,1061526,232034,5994,255.09866417125482,55.76082304372474,2.1253694072161604,2.130763896666666,1.580867,5.837000303882826,0.41451285157743245,0.5120505985760162,0.4761445195879591,1.4027079697414078,0,0,0,20,,250.03152036471562,174,4.181448929729309,1.0970066644075456,0.313430475545013,1.1107345909108024,0.9876406779661018,0.28218305084745765,31.7,707.299060645481,4.4818382723526575,15517.608414096916,650.5234248277419,774,7918.512886813951,198,1352,26410.64472573861,6346.825409304639,-30.081468,-51.178523
Curitiba,424.99,3414115,8033.400785900844,49.0625486141,272.600625024,8617,1313,2.5,,81.4,0.9690147383079958,,,,2.1004990135778114,,,,341.63262256700074,1755.7846299201008,546.6121961072013,304.3636091960552,,,,,Empresa privada,Concesion,1.0166045408336157,1.0166045408336157,,,,11756.303217790486,0,297661.39829151356,87.18552195562059,1215560.640933954,215353.56527299646,4402,356.03974703076904,63.077419850531236,2.2529627061740145,1.7047863933333331,2.109621903142805,6.0673710026501535,0.5585465179974121,0.4993347890546549,0.7192618186628409,1.777143125714908,0,0,0,1,,295.675593960033,276,8.084086212678836,1.0626906133514062,0.30362588952897324,1.0166045408336157,1.0453333333333332,0.2986666666666667,0,529.6525851402876,0,17769.318914093263,603.7586682566103,692,5464.826649501507,819,0,25348.904231851382,7424.736493015433,-25.474011,-49.27917
Montevideo,579,1807565,3121.873920552677,25.6002288867,371.630029034,6846.294452999996,641,59,,6,0.9494187030111958,8.009,9.779,15.011,0.4820125722979917,,,,,1528,,,13,,,,Empresa privada/cooperativa,Permision,0.9193972072445735,,1.0783907092492742,,,6112,0,123280,68.20224998824385,441000,185012,2975,235.02338775821264,102.35427218384955,1.4540610018188567,0.9984366733333333,0.289582480664338,2.7420801558165278,0.7433888819341735,0.5523655709937586,0.2212477881071222,1.5170022410350543,,,,,,507.60632895870094,103,5.489208376212223,1.2128550594720438,0.4851420237888175,0.9193972072445735,1.3191850594227508,0.5276740237691002,88.9,284.6215198562146,31.23446183721828,10955.674800000003,296.01919999999996,284,1474.252285449306,178,600,13787.946285449309,7627.911740628585,-34.83205,-56.199387
Manaos,1012.6599999999738,2360491,2330.9807832836896,25.1769172797,272.600625024,4855.169596999997,676,,,,0,,,,0.12357961715091048,,,,16,2087,218,,,,,,Empresa privada,Concesion,1.035430550849053,1.035430550849053,,,,12100,0,201612.2399932114,85.41114539018001,268970.2562825355,133318.958887359,4047,113.94674086134431,56.47933370106431,0.6852033274800001,1.85088459801,1.253420721,3.78950864649,0.27258000000000004,0.78411,0.5487,1.60539,0,0,0,1.3,,260.85855321059006,326,13.810685997108228,1.2073346135020144,0.34495274671486126,1.035430550849053,1.1660218181818183,0.3331490909090909,0,592.5472985701969,0,4185.92214999324,373.7689551094827,395,3267.35370758173,0,0,8222.044812684453,3483.192612335507,-3.059738,-59.991832
Quito,372.39,2239191,4347.984639759392,6.441,354.0,4170.48,600,34.5,34.1,,1.6544858145824943,53.71,119.33,,4.14916268630949,,,,,2531,348,,,,,,Empresa privada/cooperativa,Permision,0.25,,,,,11620,0,283470,126.59482822144247,360102,26651,13136,160.81790253712165,16.45991158301969,1.0229298,2.230584,0.667957,3.9214708,0.4545971290524123,0.9961562010565423,0.300535773857612,1.7512891039665666,0,0,16.4,59.665,Autos,435.81201037427024,148,6.609529959704197,0.4181600955794504,0.36687631027253675,0.25,1.6726403823178015,1.467505241090147,22,172.87026,12.726307000405969,6676.29108,118.73020500000001,677,2702.2096644695434,239.5,0,10413.730949469544,4650.66666910931,-0.163549,-78.449962
