,poblacion,flota_taxi,autos_milhab,motos_milhab,latitude,longitude,taxis_milhab,flotaPrivadaPorMil,taxiPropPrivado
Caracas,3611087,13890,368.8,65.8,10.461517,-66.894522,3.84648722116,438.446487221,0.00877299130742
Panama,1771384,44399,234.3,8.7,8.998658,-79.511511,25.0645822701,268.06458227,0.0935020287196
Rio de Janeiro,12156624,36637,193.4,34.0,-22.939439,-43.247596,3.0137478958,230.413747896,0.013079722557
Guadalajara,4515531,12747,401.9,35.3,20.672172,-103.348805,2.8229238156,440.022923816,0.00641540170482
Cali,2784664,19717,129.3,95.8,3.424535,-76.52498,7.08056699121,232.180566991,0.0304959501261
Porto Alegre,4161237,5994,255.1,55.8,-30.081468,-51.178523,1.44043706234,312.340437062,0.00461175336723
Curitiba,3414115,4402,356.0,63.1,-25.474011,-49.27917,1.28935317059,420.389353171,0.00306704525427
Montevideo,1807565,2975,235.0,102.4,-34.83205,-56.199387,1.64586059146,339.045860591,0.00485438928111
Manaos,2360491,4047,113.9,56.5,-3.059738,-59.991832,1.71447381075,172.114473811,0.00996124133424
Quito,2239191,13136,160.8,16.5,-0.163549,-78.449962,5.8664044291,183.166404429,0.0320277315449
Buenos Aires,15769937,91591,252.6,59.6,-34.609423,-58.440881,5.80794964495,318.007949645,0.0182635360262
Santiago de Chile,5842259,27720,252.5,14.3,-33.464454,-70.660071,4.74474000554,271.544740006,0.0174731427515
Rosario,1320718,4395,264.6,132.9,-32.956258,-60.645293,3.32773536819,400.827735368,0.00830215844502
Barranquilla,2004617,16472,50.8,50.2,10.985342,-74.804985,8.21703098397,109.217030984,0.0752358026028
Ciudad de Mexico,20392950,247551,199.4,8.4,19.380156,-99.131288,12.1390480534,219.939048053,0.0551927825496
Medellin,3383258,25949,80.9,89.0,6.233849,-75.592281,7.66982594883,177.569825949,0.0431932954141
Brasilia,2852372,6505,380.0,71.4,-15.775775,-47.892073,2.28055807588,453.680558076,0.00502679260832
San Jose,1349241,7405,298.5,76.4,9.932563,-84.098584,5.488270813,380.388270813,0.0144280758218
Bello Horizonte,5609654,8918,341.5,82.6,-19.897802,-43.953453,1.5897593684,425.689759368,0.00373454924253
Recife,3887261,4918,148.7,57.0,-8.074301,-34.897779,1.26515816664,206.965158167,0.00611290411316
Pereira,618074,4187,109.6,218.5,4.804087,-75.716854,6.77426974764,334.874269748,0.0202292930799
Monteria,433586,1909,29.4,263.7,8.746635,-75.879911,4.40281743414,297.502817434,0.014799246179
Florianopolis,962430,888,325.3,100.0,-27.61002,-48.502596,0.922664505471,426.222664505,0.00216474763617
San Pablo,20935204,30289,300.5,56.7,-23.571441,-46.633783,1.44679746135,358.646797461,0.00403404539393
Bogota,9069621,58339,190.7,73.6,4.64144,-74.106443,6.4323525757,270.732352576,0.0237590835174
Leon,1493064,4200,255.7,21.0,21.12634,-101.661214,2.81300734597,279.513007346,0.0100639586425
Santa Cruz de la Sierra,1662446,6966,189.7,65.1,-17.779676,-63.181956,4.19021129107,258.990211291,0.0161790334476
Salvador de Bahia,4016371,6818,136.1,35.6,-12.993266,-38.481614,1.69755234265,173.397552343,0.00978994408926
Lima,9752000,89172,122.1,3.7,-11.694423,-76.62107,9.1439704676,134.943970468,0.0677612377634
