,flota_taxisColetivos,flota_jeeps,flota_combiVans,flota_microbus,flota_bus,flota_busArticulado,flota_busBiarticulado,flota_tren,flota_metro,flota_tranvia,flota_barcos,latitude,longitude,asientos_milhab,flota_total,compartida,compartida_prop,bus,bus_prop,ferroviaria,ferroviaria_prop
Caracas,47.0,5099.0,273.0,10964.0,1328.0,50.0,,86.0,585.0,,,10.461517,-66.894522,167.0,,16383.0,88.9,1378.0,7.5,671.0,3.6
Panama,,,,1753.0,1236.0,,,,60.0,,,8.998658,-79.511511,113.2,,1753.0,57.5,1236.0,40.5,60.0,2.0
Rio de Janeiro,,,,1525.92910399,14877.8087639,552.262132112,,663.0,296.0,,24.0,-22.939439,-43.247596,126.4,,1525.92910399,8.5,15430.070896,86.0,959.0,5.3
Guadalajara,,,,,5247.0,41.0,,48.0,,,,20.672172,-103.348805,80.2,,0.0,0.0,5288.0,99.1,48.0,0.9
Cali,,,,305.916,519.234,535.004,,,,,,3.424535,-76.52498,54.7,,305.916,22.5,1054.238,77.5,0.0,0.0
Porto Alegre,,,,,4562.0,332.0,,100.0,,,,-30.081468,-51.178523,107.0,,0.0,0.0,4894.0,98.0,100.0,2.0
Curitiba,,,,341.632622567,1755.78462992,546.612196107,304.363609196,,,,,-25.474011,-49.27917,87.2,,341.632622567,11.6,2606.76043522,88.4,0.0,0.0
Montevideo,,,,,1528.0,,,13.0,,,,-34.83205,-56.199387,68.2,,0.0,0.0,1528.0,99.2,13.0,0.8
Manaos,,,,16.0,2087.0,218.0,,,,,,-3.059738,-59.991832,85.4,,16.0,0.7,2305.0,99.3,0.0,0.0
Quito,,,,,2531.0,348.0,,,,,,-0.163549,-78.449962,126.6,,0.0,0.0,2879.0,100.0,0.0,0.0
Buenos Aires,,,1711.0,,18498.0,52.0,,1757.0,637.0,17.0,,-34.609423,-58.440881,100.8,,1711.0,7.5,18550.0,81.8,2411.0,10.6
Santiago de Chile,13302.0,,,1626.0,5080.0,1433.0,,39.0,1093.0,,,-33.464454,-70.660071,214.0,,14928.0,66.1,6513.0,28.9,1132.0,5.0
Rosario,,,,,766.0,4.0,,,,,,-32.956258,-60.645293,38.2,,0.0,0.0,770.0,100.0,0.0,0.0
Barranquilla,961.0,,,23.0,1201.0,25.0,,,,,,10.985342,-74.804985,86.1,,984.0,44.5,1226.0,55.5,0.0,0.0
Ciudad de Mexico,,,73583.0,35172.0,8863.0,348.0,41.0,43.0,2136.0,,,19.380156,-99.131288,175.9,,108755.0,90.5,9252.0,7.7,2179.0,1.8
Medellin,,,,574.18,2827.344,24.391,,,165.0,,,6.233849,-75.592281,129.2,,574.18,16.0,2851.735,79.4,165.0,4.6
Brasilia,,,676.0,412.0,2322.0,58.0,,,128.0,,,-15.775775,-47.892073,75.4,,1088.0,30.3,2380.0,66.2,128.0,3.6
San Jose,,,,,1860.0,,,,16.0,,,9.932563,-84.098584,111.5,,0.0,0.0,1860.0,99.1,16.0,0.9
Bello Horizonte,,,,696.693939394,6402.73151515,438.574545455,,100.0,,,,-19.897802,-43.953453,114.4,,696.693939394,9.1,6841.30606061,89.6,100.0,1.3
Recife,,,,56.0,3467.0,328.0,,,177.0,,,-8.074301,-34.897779,97.7,,56.0,1.4,3795.0,94.2,177.0,4.4
Pereira,45.0,,,,532.0,86.0,,,,,,4.804087,-75.716854,57.0,,45.0,6.8,618.0,93.2,0.0,0.0
Monteria,16.0,,,151.0,119.0,,,,,,,8.746635,-75.879911,39.7,,167.0,58.4,119.0,41.6,0.0,0.0
Florianopolis,,,,,970.0,77.0,,,,,,-27.61002,-48.502596,93.3,,0.0,0.0,1047.0,100.0,0.0,0.0
San Pablo,,,,7061.31367781,14166.849848,2149.82370821,347.012765957,1356.0,984.0,,,-23.571441,-46.633783,121.2,,7061.31367781,27.1,16663.6863222,63.9,2340.0,9.0
Bogota,,,,8408.0,3880.0,1454.0,312.0,,,,,4.64144,-74.106443,86.1,,8408.0,59.8,5646.0,40.2,0.0,0.0
Leon,,,,,1566.0,103.0,,,,,,21.12634,-101.661214,74.0,,0.0,0.0,1669.0,100.0,0.0,0.0
Santa Cruz de la Sierra,7026.0,,4399.0,3765.0,10.0,,,,,,,-17.779676,-63.181956,84.9,,15190.0,99.9,10.0,0.1,0.0,0.0
Salvador de Bahia,,,,549.0,3628.0,12.0,,,12.0,,,-12.993266,-38.481614,80.6,,549.0,13.1,3640.0,86.6,12.0,0.3
Lima,2523.0,,51733.0,18453.0,3120.0,288.0,,,125.0,,,-11.694423,-76.62107,192.0,,72709.0,95.4,3408.0,4.5,125.0,0.2
