,sistema_vial,inters_semaforicas,carrilExc_acera,carrilExc_centro,carrilExc_BRT,carrilExc_prop,ciclocarriles,ciclovias,otras_prioridad,ciclistas_prop,latitude,longitude
Caracas,2696,547,,,5.2,0.2,14.0,12.0,,1.0,10.461517,-66.894522
Panama,2050,180,3.5,,,0.2,0.0,7.6,0.0,0.4,8.998658,-79.511511
Rio de Janeiro,15371,3169,45.0,,91.0,0.9,,,,2.4,-22.939439,-43.247596
Guadalajara,10439,1823,,,16.1,0.2,,72.0,,0.7,20.672172,-103.348805
Cali,2341,466,,,36.3,1.6,,25.5,,1.1,3.424535,-76.52498
Porto Alegre,9903,1899,44.0,,11.0,0.6,3.0,22.0,,0.3,-30.081468,-51.178523
Curitiba,8617,1313,2.5,,81.4,1.0,,,,2.1,-25.474011,-49.27917
Montevideo,6846,641,59.0,,6.0,0.9,8.009,9.779,15.011,0.5,-34.83205,-56.199387
Manaos,4855,676,,,,0.0,,,,0.1,-3.059738,-59.991832
Quito,4170,600,34.5,34.1,,1.7,53.71,119.33,,4.1,-0.163549,-78.449962
Buenos Aires,44993,6096,14.96,76.0,,0.2,53.0,87.0,0.0,0.3,-34.609423,-58.440881
Santiago de Chile,15864,2660,75.15,,34.55,0.7,,255.0,59.0,2.0,-33.464454,-70.660071
Rosario,2506,801,10.0,,,0.4,,62.0,41.0,4.1,-32.956258,-60.645293
Barranquilla,1510,300,,,13.4,0.9,,,,0.0,10.985342,-74.804985
Ciudad de Mexico,32548,3076,104.12,153.1,155.4,1.3,,103.0,,0.3,19.380156,-99.131288
Medellin,1802,618,,,12.5,0.7,,57.21,1.2,3.2,6.233849,-75.592281
Brasilia,4982,1023,54.9,,35.0,1.8,,,,8.8,-15.775775,-47.892073
San Jose,5075,425,,,,0.0,5.0,,,0.1,9.932563,-84.098584
Bello Horizonte,14463,1405,21.5,,24.0,0.3,,,,0.5,-19.897802,-43.953453
Recife,8884,868,,,12.3,0.1,,,,0.1,-8.074301,-34.897779
Pereira,997,218,,,30.0,3.0,0.0,1.5,0.0,0.2,4.804087,-75.716854
Monteria,714,39,,,,0.0,,19.0,,2.7,8.746635,-75.879911
Florianopolis,3816,154,,,,0.0,,,,1.5,-27.61002,-48.502596
San Pablo,38128,5905,401.0,118.0,45.0,1.5,,,,0.7,-23.571441,-46.633783
Bogota,8911,1326,,,109.3,1.3,13.0,392.0,,4.5,4.64144,-74.106443
Leon,2665,572,,,15.0,0.6,,101.0,,3.8,21.12634,-101.661214
Santa Cruz de la Sierra,4187,136,12.69,,,0.3,11.0,0.0,0.0,0.3,-17.779676,-63.181956
Salvador de Bahia,4255,1089,52.0,,,1.2,,,,0.6,-12.993266,-38.481614
Lima,13517,1336,,7.4,26.0,0.3,43.67,95.93,25.4,1.2,-11.694423,-76.62107
