,latitude,longitude,compartidoYtaxi,compSobreTaxi,privadaVpublico,asientos_milhab
Caracas,10.461517,-66.894522,1.9,54.4,85.9,167.0
Panama,8.998658,-79.511511,9.7,3.8,155.8,113.2
Rio de Janeiro,-22.939439,-43.247596,1.3,4.0,156.1,126.4
Guadalajara,20.672172,-103.348805,0.6,0.0,372.3,80.2
Cali,3.424535,-76.52498,3.1,1.5,475.4,54.7
Porto Alegre,-30.081468,-51.178523,0.4,0.0,260.2,107.0
Curitiba,-25.474011,-49.27917,0.3,7.1,486.8,87.2
Montevideo,-34.83205,-56.199387,0.5,0.0,397.6,68.2
Manaos,-3.059738,-59.991832,1.0,0.4,175.0,85.4
Quito,-0.163549,-78.449962,3.2,0.0,142.5,126.6
Buenos Aires,-34.609423,-58.440881,1.8,1.8,221.2,100.8
Santiago de Chile,-33.464454,-70.660071,2.6,35.2,70.3,214.0
Rosario,-32.956258,-60.645293,0.8,0.0,687.5,38.2
Barranquilla,10.985342,-74.804985,7.9,5.6,99.1,86.1
Ciudad de Mexico,19.380156,-99.131288,7.7,30.6,37.3,175.9
Medellin,6.233849,-75.592281,4.4,2.2,167.3,129.2
Brasilia,-15.775775,-47.892073,0.6,14.2,359.9,75.4
San Jose,9.932563,-84.098584,1.4,0.0,273.6,111.5
Bello Horizonte,-19.897802,-43.953453,0.4,7.2,312.7,114.4
Recife,-8.074301,-34.897779,0.6,1.1,199.8,97.7
Pereira,4.804087,-75.716854,2.0,1.1,312.2,57.0
Monteria,8.746635,-75.879911,1.6,8.0,451.0,39.7
Florianopolis,-27.61002,-48.502596,0.2,0.0,391.8,93.3
San Pablo,-23.571441,-46.633783,0.5,19.4,288.0,121.2
Bogota,4.64144,-74.106443,2.7,12.7,174.7,86.1
Leon,21.12634,-101.661214,1.0,0.0,250.0,74.0
Santa Cruz de la Sierra,-17.779676,-63.181956,5.0,68.5,28.3,84.9
Salvador de Bahia,-12.993266,-38.481614,1.1,7.4,165.8,80.6
Lima,-11.694423,-76.62107,11.6,45.0,17.3,192.0
