,area,poblacion,densidad_urbana,PIB,salario_minimo,latitude,longitude
Caracas,260.63,3611087,13855,,,10.461517,-66.894522
Panama,287.0,1771384,6172,46.2,496.0,8.998658,-79.511511
Rio de Janeiro,900.0,12156624,13507,153.4,272.6,-22.939439,-43.247596
Guadalajara,692.524,4515531,6520,73.8,226.0,20.672172,-103.348805
Cali,151.365,2784664,18397,14.0,257.5,3.424535,-76.52498
Porto Alegre,433.98,4161237,9588,55.3,272.6,-30.081468,-51.178523
Curitiba,424.99,3414115,8033,49.1,272.6,-25.474011,-49.27917
Montevideo,579.0,1807565,3121,25.6,371.6,-34.83205,-56.199387
Manaos,1012.66,2360491,2330,25.2,272.6,-3.059738,-59.991832
Quito,372.39,2239191,4347,6.4,354.0,-0.163549,-78.449962
Buenos Aires,3883.0,15769937,4061,75.7,514.6,-34.609423,-58.440881
Santiago de Chile,662.0,5842259,8825,107.4,393.2,-33.464454,-70.660071
Rosario,149.942121497,1320718,8808,29.2,514.0,-32.956258,-60.645293
Barranquilla,200.0,2004617,15851,7.9,257.5,10.985342,-74.804985
Ciudad de Mexico,2608.574425,20392950,7817,192.6,226.0,19.380156,-99.131288
Medellin,172.653,3383258,19595,18.2,257.5,6.233849,-75.592281
Brasilia,251.01,2852372,11363,87.5,272.6,-15.775775,-47.892073
San Jose,251.81,1349241,5358,17.7,515.8,9.932563,-84.098584
Bello Horizonte,603.0,5609654,9302,68.8,272.6,-19.897802,-43.953453
Recife,841.24,3887261,4620,35.9,272.6,-8.074301,-34.897779
Pereira,59.4,618074,10405,2.4,257.5,4.804087,-75.716854
Monteria,51.1,433586,8485,1.6,257.5,8.746635,-75.879911
Florianopolis,115.0,962430,8368,10.7,272.6,-27.61002,-48.502596
San Pablo,2209.0,20935204,9477,372.2,272.6,-23.571441,-46.633783
Bogota,469.1208,9069621,19333,55.7,257.5,4.64144,-74.106443
Leon,250.2483034,1493064,5966,45.9,214.2,21.12634,-101.661214
Santa Cruz de la Sierra,422.6747,1662446,3933,3.9,238.8,-17.779676,-63.181956
Salvador de Bahia,384.436863236,4016371,10447,34.9,272.6,-12.993266,-38.481614
Lima,798.6,9752000,12211,67.7,251.6,-11.694423,-76.62107
